2025-09-05 16:38:33 v-generate-ssl-cert  'wp.deb12.localhost.dev' 'info@wp.deb12.localhost.dev' 'US' 'California' 'San Francisco' 'myVesta Control Panel' 'IT' 'www.wp.deb12.localhost.dev'
2025-09-05 16:47:13 v-add-firewall-ban  '81.30.107.185' 'MAIL'
2025-09-05 16:47:54 v-delete-firewall-ban  '81.30.107.149' 'MAIL'
2025-09-05 16:48:07 v-delete-firewall-ban  '77.90.185.6' 'MAIL'
2025-09-05 16:48:42 v-delete-firewall-ban  '81.30.107.145' 'MAIL'
2025-09-05 16:48:50 v-add-firewall-chain  'MAIL'
2025-09-05 16:48:50 v-add-firewall-ban  '77.90.185.6' 'MAIL'
2025-09-05 16:49:08 v-delete-firewall-ban  '81.30.107.159' 'MAIL'
2025-09-05 16:49:12 v-delete-firewall-ban  '193.46.255.185' 'MAIL'
2025-09-05 16:49:32 v-delete-firewall-ban  '81.30.107.29' 'MAIL'
2025-09-05 16:50:07 v-delete-firewall-ban  '81.30.107.177' 'MAIL'
2025-09-05 16:50:12 v-delete-firewall-ban  '80.94.95.229' 'MAIL'
2025-09-05 16:50:31 v-add-firewall-chain  'MAIL'
2025-09-05 16:50:31 v-add-firewall-ban  '81.30.107.149' 'MAIL'
2025-09-05 16:50:43 v-add-firewall-chain  'MAIL'
2025-09-05 16:50:43 v-add-firewall-ban  '81.30.107.159' 'MAIL'
2025-09-05 16:50:55 v-delete-firewall-ban  '81.30.107.160' 'MAIL'
2025-09-05 16:50:59 v-add-firewall-chain  'MAIL'
2025-09-05 16:50:59 v-add-firewall-ban  '81.30.107.29' 'MAIL'
2025-09-05 16:51:06 v-add-firewall-chain  'MAIL'
2025-09-05 16:51:06 v-add-firewall-ban  '80.94.95.229' 'MAIL'
2025-09-05 16:51:12 v-delete-firewall-ban  '81.30.107.189' 'MAIL'
2025-09-05 16:51:21 v-add-firewall-chain  'MAIL'
2025-09-05 16:51:21 v-add-firewall-ban  '81.30.107.145' 'MAIL'
2025-09-05 16:51:44 v-add-firewall-chain  'MAIL'
2025-09-05 16:51:44 v-add-firewall-ban  '193.46.255.185' 'MAIL'
2025-09-05 16:51:46 v-add-firewall-chain  'MAIL'
2025-09-05 16:51:46 v-add-firewall-ban  '81.30.107.177' 'MAIL'
2025-09-05 16:52:12 v-delete-firewall-ban  '81.30.107.194' 'MAIL'
2025-09-05 16:52:21 v-add-firewall-chain  'MAIL'
2025-09-05 16:52:21 v-add-firewall-ban  '81.30.107.160' 'MAIL'
2025-09-05 16:52:54 v-add-firewall-chain  'MAIL'
2025-09-05 16:52:54 v-add-firewall-ban  '81.30.107.189' 'MAIL'
2025-09-05 16:53:35 v-delete-firewall-ban  '81.30.107.6' 'MAIL'
2025-09-05 16:53:39 v-add-firewall-chain  'MAIL'
2025-09-05 16:53:39 v-add-firewall-ban  '81.30.107.194' 'MAIL'
2025-09-05 16:55:30 v-add-firewall-chain  'MAIL'
2025-09-05 16:55:30 v-add-firewall-ban  '81.30.107.6' 'MAIL'
2025-09-05 16:55:33 v-add-firewall-chain  'SSH'
2025-09-05 16:55:34 v-add-firewall-ban  '80.94.95.15' 'SSH'
2025-09-05 16:56:27 v-delete-firewall-ban  '81.30.107.5' 'MAIL'
2025-09-05 16:57:13 v-delete-firewall-ban  '81.30.107.185' 'MAIL'
2025-09-05 16:59:50 v-add-firewall-chain  'MAIL'
2025-09-05 16:59:50 v-add-firewall-ban  '77.90.185.6' 'MAIL'
